name,date,y
Create Review,20/05/2009,11
Create Review,21/05/2009,8
Create Review,22/05/2009,3
Create Review,24/05/2009,2
Create Review,26/05/2009,7
Create Review,27/05/2009,33
Create Review,28/05/2009,5
Create Review,29/05/2009,13
Create Review,30/05/2009,1
Create Review,31/05/2009,1
Create Review,01/06/2009,36
Create Review,02/06/2009,10
Create Review,03/06/2009,11
Create Review,04/06/2009,12
Create Review,05/06/2009,2
Create Review,07/06/2009,3
Create Review,08/06/2009,5
Create Review,09/06/2009,13
Create Review,10/06/2009,12
Create Review,11/06/2009,11
Create Review,12/06/2009,1
Create Review,13/06/2009,7
Create Review,14/06/2009,37
Create Review,15/06/2009,1
Create Review,16/06/2009,12
Create Review,17/06/2009,4
Create Review,18/06/2009,10
Create Review,19/06/2009,3
Create Review,20/06/2009,0
Create Review,21/06/2009,2
Create Review,22/06/2009,8
Create Review,23/06/2009,6
Create Review,24/06/2009,5
Create Review,25/06/2009,4
Create Review,26/06/2009,2
Create Review,27/06/2009,0
Create Review,28/06/2009,1
Create Review,29/06/2009,7
Create Review,30/06/2009,20
Create Review,01/07/2009,3
Create Review,02/07/2009,7
Create Review,03/07/2009,4
Create Review,04/07/2009,3
Create Review,06/07/2009,2
Create Review,07/07/2009,6
Create Review,08/07/2009,8
Create Review,09/07/2009,4
Create Review,10/07/2009,5
Create Review,12/07/2009,6
Create Review,13/07/2009,4
Create Review,14/07/2009,3
Create Review,15/07/2009,11
Create Review,16/07/2009,2
Create Review,17/07/2009,15
Create Review,18/07/2009,3
Create Review,19/07/2009,5
Create Review,20/07/2009,2
Create Review,21/07/2009,6
Create Review,22/07/2009,2
Create Review,23/07/2009,12
Create Review,24/07/2009,11
Create Review,25/07/2009,5
Create Review,26/07/2009,1
Create Review,27/07/2009,9
Create Review,28/07/2009,7
Create Review,29/07/2009,6
Create Review,30/07/2009,12
Create Review,31/07/2009,8
Create Review,02/08/2009,0
Create Review,03/08/2009,15
Create Review,04/08/2009,19
Create Review,05/08/2009,13
Create Review,06/08/2009,4
Create Review,07/08/2009,15
Create Review,08/08/2009,0
Create Review,09/08/2009,4
Create Review,10/08/2009,6
Create Review,11/08/2009,33
Create Review,12/08/2009,12
Create Review,13/08/2009,13
Create Review,14/08/2009,2
Create Review,15/08/2009,5
Create Review,16/08/2009,3
Create Review,17/08/2009,17
Create Review,18/08/2009,2
Create Review,19/08/2009,0
Create Review,20/08/2009,7
Create Review,21/08/2009,14
Create Review,22/08/2009,0
Create Review,23/08/2009,0
Create Review,24/08/2009,6
Create Review,25/08/2009,5
Create Review,26/08/2009,16
Create Review,27/08/2009,17
Create Review,28/08/2009,2
Create Review,29/08/2009,1
Create Review,30/08/2009,3
Create Review,31/08/2009,85
Create Review,01/09/2009,20
Create Review,02/09/2009,14
Create Review,03/09/2009,31
Create Review,04/09/2009,9
Create Review,05/09/2009,0
Create Review,06/09/2009,1
Create Review,07/09/2009,2
Create Review,08/09/2009,8
Create Review,09/09/2009,8
Create Review,10/09/2009,32
Create Review,11/09/2009,2
Create Review,13/09/2009,0
Create Review,14/09/2009,28
Create Review,15/09/2009,3
Create Review,16/09/2009,24
Create Review,17/09/2009,17
Create Review,18/09/2009,2
Create Review,19/09/2009,2
Create Review,20/09/2009,7
Create Review,21/09/2009,25
Create Review,22/09/2009,6
Create Review,23/09/2009,35
Create Review,24/09/2009,5
Create Review,25/09/2009,0
Create Review,27/09/2009,2
Create Review,28/09/2009,25
Create Review,29/09/2009,13
Create Review,30/09/2009,11
Create Review,01/10/2009,38
Create Review,02/10/2009,7
Create Review,03/10/2009,4
Create Review,04/10/2009,3
Create Review,05/10/2009,2
Create Review,06/10/2009,15
Create Review,07/10/2009,9
Create Review,08/10/2009,22
Create Review,09/10/2009,5
Create Review,10/10/2009,3
Create Review,11/10/2009,0
Create Review,12/10/2009,11
Create Review,13/10/2009,8
Create Review,14/10/2009,27
Create Review,15/10/2009,1
Create Review,16/10/2009,9
