name,date,y
Create Review,18/10/2009,1
Create Review,19/10/2009,2
Create Review,20/10/2009,8
Create Review,21/10/2009,40
Create Review,22/10/2009,1
Create Review,23/10/2009,2
Create Review,24/10/2009,3
Create Review,25/10/2009,1
Create Review,26/10/2009,13
Create Review,27/10/2009,2
Create Review,28/10/2009,6
Create Review,29/10/2009,24
Create Review,30/10/2009,1
Create Review,31/10/2009,0
Create Review,01/11/2009,21
Create Review,02/11/2009,16
Create Review,03/11/2009,6
Create Review,04/11/2009,24
Create Review,05/11/2009,3
Create Review,06/11/2009,3
Create Review,07/11/2009,0
Create Review,08/11/2009,2
Create Review,09/11/2009,2
Create Review,10/11/2009,3
Create Review,11/11/2009,1
Create Review,12/11/2009,29
Create Review,13/11/2009,4
Create Review,15/11/2009,4
Create Review,16/11/2009,6
Create Review,17/11/2009,4
Create Review,18/11/2009,3
Create Review,19/11/2009,2
Create Review,20/11/2009,23
Create Review,21/11/2009,2
Create Review,22/11/2009,0
Create Review,23/11/2009,2
Create Review,24/11/2009,2
Create Review,25/11/2009,2
Create Review,26/11/2009,0
Create Review,27/11/2009,0
Create Review,30/11/2009,1
Create Review,01/12/2009,19
Create Review,02/12/2009,3
Create Review,03/12/2009,0
Create Review,04/12/2009,73
Create Review,07/12/2009,11
Create Review,08/12/2009,4
Create Review,09/12/2009,4
Create Review,10/12/2009,29
Create Review,11/12/2009,3
Create Review,13/12/2009,0
Create Review,14/12/2009,7
Create Review,15/12/2009,28
Create Review,16/12/2009,2
Create Review,17/12/2009,3
Create Review,18/12/2009,1
Create Review,19/12/2009,1
Create Review,20/12/2009,3
Create Review,21/12/2009,24
Create Review,22/12/2009,1
Create Review,23/12/2009,3
Create Review,25/12/2009,1
Create Review,26/12/2009,0
Create Review,27/12/2009,0
Create Review,28/12/2009,0
Create Review,29/12/2009,1
Create Review,30/12/2009,3
Create Review,01/01/2010,1
Create Review,02/01/2010,1
Create Review,04/01/2010,2
Create Review,05/01/2010,1
Create Review,06/01/2010,0
Create Review,07/01/2010,1
Create Review,08/01/2010,2
Create Review,09/01/2010,5
Create Review,11/01/2010,0
Create Review,12/01/2010,12
Create Review,13/01/2010,2
Create Review,14/01/2010,3
Create Review,15/01/2010,2
Create Review,16/01/2010,6
Create Review,17/01/2010,0
Create Review,18/01/2010,4
Create Review,19/01/2010,3
Create Review,20/01/2010,13
Create Review,21/01/2010,3
Create Review,22/01/2010,5
Create Review,23/01/2010,3
Create Review,24/01/2010,1
Create Review,25/01/2010,2
Create Review,26/01/2010,1
Create Review,27/01/2010,1
Create Review,28/01/2010,10
Create Review,29/01/2010,13
Create Review,30/01/2010,4
Create Review,31/01/2010,13
Create Review,01/02/2010,1
Create Review,02/02/2010,11
Create Review,03/02/2010,5
Create Review,04/02/2010,1
Create Review,05/02/2010,2
Create Review,06/02/2010,10
Create Review,07/02/2010,0
Create Review,08/02/2010,3
Create Review,09/02/2010,4
Create Review,10/02/2010,7
Create Review,11/02/2010,1
Create Review,12/02/2010,6
Create Review,13/02/2010,1
Create Review,14/02/2010,4
Create Review,15/02/2010,6
Create Review,16/02/2010,10
Create Review,17/02/2010,22
Create Review,18/02/2010,9
Create Review,19/02/2010,14
Create Review,20/02/2010,3
Create Review,21/02/2010,4
Create Review,22/02/2010,4
Create Review,23/02/2010,23
Create Review,24/02/2010,25
Create Review,25/02/2010,16
Create Review,26/02/2010,13
Create Review,27/02/2010,1
Create Review,01/03/2010,12
Create Review,02/03/2010,27
Create Review,03/03/2010,9
Create Review,04/03/2010,19
Create Review,05/03/2010,4
Create Review,06/03/2010,0
Create Review,07/03/2010,1
Create Review,08/03/2010,16
Create Review,09/03/2010,8
Create Review,10/03/2010,20
Create Review,11/03/2010,11
Create Review,12/03/2010,12
Create Review,13/03/2010,1
Create Review,14/03/2010,2
Create Review,15/03/2010,0
Create Review,16/03/2010,10
Create Review,17/03/2010,15
Create Review,18/03/2010,6
Create Review,19/03/2010,4
Create Review,22/03/2010,13
Create Review,23/03/2010,10
Create Review,24/03/2010,22
Create Review,25/03/2010,8
Create Review,26/03/2010,10
Create Review,27/03/2010,6
Create Review,28/03/2010,5
Create Review,29/03/2010,10
Create Review,30/03/2010,12
Create Review,31/03/2010,5
Create Review,01/04/2010,6
Create Review,02/04/2010,1
Create Review,03/04/2010,3
Create Review,04/04/2010,5
Create Review,05/04/2010,7
Create Review,06/04/2010,12
Create Review,07/04/2010,23
Create Review,08/04/2010,22
Create Review,09/04/2010,8
Create Review,10/04/2010,0
Create Review,11/04/2010,0
Create Review,12/04/2010,8
Create Review,13/04/2010,2
Create Review,14/04/2010,3
Create Review,15/04/2010,10
Create Review,16/04/2010,5
Create Review,17/04/2010,4
Create Review,18/04/2010,1
Create Review,19/04/2010,20
Create Review,20/04/2010,4
Create Review,21/04/2010,14
Create Review,22/04/2010,8
Create Review,23/04/2010,15
Create Review,24/04/2010,4
Create Review,25/04/2010,0
Create Review,26/04/2010,23
Create Review,27/04/2010,13
Create Review,28/04/2010,33
Create Review,29/04/2010,9
Create Review,30/04/2010,8
Create Review,01/05/2010,1
Create Review,02/05/2010,2
Create Review,03/05/2010,21
Create Review,04/05/2010,18
Create Review,05/05/2010,22
Create Review,06/05/2010,14
Create Review,07/05/2010,8
Create Review,09/05/2010,0
Create Review,10/05/2010,29
Create Review,11/05/2010,34
Create Review,12/05/2010,9
Create Review,13/05/2010,20
Create Review,14/05/2010,8
Create Review,15/05/2010,2
Create Review,16/05/2010,11
Create Review,17/05/2010,18
Create Review,18/05/2010,20
Create Review,19/05/2010,6
Create Review,20/05/2010,18
Create Review,21/05/2010,4
Create Review,22/05/2010,4
Create Review,23/05/2010,3
Create Review,24/05/2010,12
Create Review,25/05/2010,17
Create Review,26/05/2010,3
Create Review,27/05/2010,6
Create Review,28/05/2010,9
Create Review,29/05/2010,0
Create Review,30/05/2010,3
Create Review,31/05/2010,8
Create Review,01/06/2010,8
Create Review,02/06/2010,15
Create Review,03/06/2010,21
Create Review,04/06/2010,14
Create Review,05/06/2010,4
Create Review,06/06/2010,5
Create Review,07/06/2010,12
Create Review,08/06/2010,23
Create Review,09/06/2010,17
Create Review,10/06/2010,11
Create Review,11/06/2010,12
Create Review,12/06/2010,1
Create Review,13/06/2010,0
Create Review,14/06/2010,17
Create Review,15/06/2010,30
Create Review,16/06/2010,14
Create Review,17/06/2010,18
Create Review,18/06/2010,10
Create Review,19/06/2010,2
Create Review,20/06/2010,0
Create Review,21/06/2010,5
Create Review,22/06/2010,17
Create Review,23/06/2010,12
Create Review,24/06/2010,17
Create Review,25/06/2010,48
Create Review,26/06/2010,6
Create Review,27/06/2010,5
Create Review,28/06/2010,54
Create Review,29/06/2010,36
Create Review,30/06/2010,5
Create Review,01/07/2010,21
Create Review,02/07/2010,12
Create Review,03/07/2010,0
Create Review,04/07/2010,2
Create Review,05/07/2010,1
Create Review,06/07/2010,7
Create Review,07/07/2010,8
Create Review,08/07/2010,21
Create Review,09/07/2010,11
Create Review,10/07/2010,4
Create Review,11/07/2010,3
Create Review,12/07/2010,22
Create Review,13/07/2010,19
Create Review,14/07/2010,20
Create Review,15/07/2010,24
Create Review,16/07/2010,14
Create Review,17/07/2010,4
Create Review,18/07/2010,1
Create Review,19/07/2010,6
Create Review,20/07/2010,24
Create Review,21/07/2010,18
Create Review,22/07/2010,28
Create Review,23/07/2010,17
Create Review,24/07/2010,2
Create Review,25/07/2010,2
Create Review,26/07/2010,11
Create Review,27/07/2010,25
Create Review,28/07/2010,35
Create Review,29/07/2010,28
Create Review,30/07/2010,32
Create Review,31/07/2010,6
Create Review,01/08/2010,4
Create Review,02/08/2010,13
Create Review,03/08/2010,16
Create Review,04/08/2010,5
Create Review,05/08/2010,27
Create Review,06/08/2010,23
Create Review,07/08/2010,7
Create Review,08/08/2010,2
Create Review,09/08/2010,14
Create Review,10/08/2010,28
Create Review,11/08/2010,17
Create Review,12/08/2010,11
Create Review,13/08/2010,10
Create Review,15/08/2010,2
Create Review,16/08/2010,11
Create Review,17/08/2010,19
Create Review,18/08/2010,25
Create Review,19/08/2010,37
Create Review,20/08/2010,23
Create Review,21/08/2010,31
Create Review,22/08/2010,0
Create Review,23/08/2010,42
Create Review,24/08/2010,22
Create Review,25/08/2010,31
Create Review,26/08/2010,32
Create Review,27/08/2010,25
Create Review,28/08/2010,4
Create Review,29/08/2010,0
Create Review,30/08/2010,30
Create Review,31/08/2010,24
Create Review,01/09/2010,24
Create Review,02/09/2010,19
Create Review,03/09/2010,27
Create Review,04/09/2010,4
Create Review,05/09/2010,4
Create Review,06/09/2010,6
Create Review,07/09/2010,20
Create Review,08/09/2010,11
Create Review,09/09/2010,17
Create Review,10/09/2010,19
Create Review,11/09/2010,1
Create Review,12/09/2010,45
Create Review,13/09/2010,15
Create Review,14/09/2010,19
Create Review,15/09/2010,28
Create Review,16/09/2010,25
Create Review,17/09/2010,5
Create Review,18/09/2010,1
Create Review,19/09/2010,0
Create Review,20/09/2010,14
Create Review,21/09/2010,2
Create Review,22/09/2010,16
Create Review,23/09/2010,10
Create Review,24/09/2010,12
Create Review,25/09/2010,1
Create Review,26/09/2010,14
Create Review,27/09/2010,26
Create Review,28/09/2010,36
Create Review,29/09/2010,22
Create Review,30/09/2010,15
Create Review,01/10/2010,18
Create Review,02/10/2010,16
Create Review,03/10/2010,4
Create Review,04/10/2010,13
Create Review,05/10/2010,18
Create Review,06/10/2010,22
Create Review,07/10/2010,115
Create Review,08/10/2010,19
Create Review,09/10/2010,6
Create Review,10/10/2010,10
Create Review,11/10/2010,29
Create Review,12/10/2010,34
Create Review,13/10/2010,30
Create Review,14/10/2010,47
Create Review,15/10/2010,16
Create Review,16/10/2010,11
Create Review,17/10/2010,6
Create Review,18/10/2010,22
Create Review,19/10/2010,26
Create Review,20/10/2010,31
Create Review,21/10/2010,14
Create Review,22/10/2010,13
Create Review,23/10/2010,2
Create Review,24/10/2010,5
Create Review,25/10/2010,30
Create Review,26/10/2010,38
Create Review,27/10/2010,19
Create Review,28/10/2010,22
Create Review,29/10/2010,15
Create Review,30/10/2010,0
Create Review,31/10/2010,10
Create Review,01/11/2010,22
Create Review,02/11/2010,24
Create Review,03/11/2010,23
Create Review,04/11/2010,23
Create Review,05/11/2010,17
Create Review,06/11/2010,5
Create Review,07/11/2010,4
Create Review,08/11/2010,24
Create Review,09/11/2010,28
Create Review,10/11/2010,13
Create Review,11/11/2010,15
Create Review,12/11/2010,10
Create Review,13/11/2010,2
Create Review,14/11/2010,1
Create Review,15/11/2010,17
Create Review,16/11/2010,12
Create Review,17/11/2010,19
Create Review,18/11/2010,21
Create Review,19/11/2010,21
Create Review,20/11/2010,0
Create Review,21/11/2010,5
Create Review,22/11/2010,25
Create Review,23/11/2010,18
Create Review,24/11/2010,41
Create Review,25/11/2010,9
Create Review,26/11/2010,7
Create Review,27/11/2010,3
Create Review,28/11/2010,5
Create Review,29/11/2010,16
Create Review,30/11/2010,18
